Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"October 28, 2019"
Statement,Data,WhenGenerated,"2019-10-29, 10:23:52 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,CSS Alpha Fund Ltd
Account Information,Data,Account,DU1507428
Account Information,Data,Master Name,CSS Alpha Fund Ltd
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Corporate
Account Information,Data,Account Capabilities,Portfolio Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,474757.437807308,558576.105984271,0,558576.105984271,83818.668176963
Net Asset Value,Data,Stock,28022.13,1032973.16,-1088135.27,-55162.11,-83184.24
Net Asset Value,Data,Interest Accruals,-573.41,353.38,-954.71,-601.33,-27.92
Net Asset Value,Data,Total,502206.157807308,1591902.645984271,-1089089.98,502812.665984271,606.508176963
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,0.120768765%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,502206.157807308
Change in NAV,Data,Mark-to-Market,670.87
Change in NAV,Data,Change in Interest Accruals,-27.92
Change in NAV,Data,Commissions,-36.441823037
Change in NAV,Data,Ending Value,502812.665984271
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,UNP,60,60,172.3300,170.7500,-94.8,0,0,0,-94.8,
Mark-to-Market Performance Summary,Data,Stocks,UPS,-86,-86,115.7200,116.2500,-45.58,0,0,0,-45.58,
Mark-to-Market Performance Summary,Data,Stocks,URI,-76,0,135.3800,136.0000,-47.12,34.2,-1,0,-13.92,
Mark-to-Market Performance Summary,Data,Stocks,UTX,73,73,142.9600,143.0400,5.84,0,0,0,5.84,
Mark-to-Market Performance Summary,Data,Stocks,VAR,0,83,--,122.2000,0,137.78,-1,0,136.78,
Mark-to-Market Performance Summary,Data,Stocks,VFC,0,119,--,83.4500,0,-102.96,-1,0,-103.96,
Mark-to-Market Performance Summary,Data,Stocks,VIAB,48,48,21.6550,21.5300,-6,0,0,0,-6,
Mark-to-Market Performance Summary,Data,Stocks,VLO,-110,-110,99.2700,100.0700,-88,0,0,0,-88,
Mark-to-Market Performance Summary,Data,Stocks,VMC,68,68,147.0800,145.7100,-93.16,0,0,0,-93.16,
Mark-to-Market Performance Summary,Data,Stocks,VRTX,0,-52,--,194.0200,0,35.88,-1.215773844,0,34.664226156,
Mark-to-Market Performance Summary,Data,Stocks,WAB,157,157,70.5000,70.0000,-78.5,0,0,0,-78.5,
Mark-to-Market Performance Summary,Data,Stocks,WAT,46,46,218.1100,220.1100,92,0,0,0,92,
Mark-to-Market Performance Summary,Data,Stocks,WCG,-37,-37,279.7500,280.9000,-42.55,0,0,0,-42.55,
Mark-to-Market Performance Summary,Data,Stocks,WFC,-201,-201,51.5700,51.6500,-16.08,0,0,0,-16.08,
Mark-to-Market Performance Summary,Data,Stocks,WHR,-62,-62,159.3600,154.5400,298.84,0,0,0,298.84,
Mark-to-Market Performance Summary,Data,Stocks,WRK,35,35,38.0100,38.4400,15.05,0,0,0,15.05,
Mark-to-Market Performance Summary,Data,Stocks,WU,456,456,24.8200,25.0200,91.2,0,0,0,91.2,
Mark-to-Market Performance Summary,Data,Stocks,WYNN,-88,-88,120.8500,123.0000,-189.2,0,0,0,-189.2,
Mark-to-Market Performance Summary,Data,Stocks,XEC,-215,-215,45.9900,44.5700,305.3,0,0,0,305.3,
Mark-to-Market Performance Summary,Data,Stocks,XEL,155,155,63.6400,62.4400,-186,0,0,0,-186,
Mark-to-Market Performance Summary,Data,Stocks,XLNX,0,105,--,94.7500,0,-35.7,-1,0,-36.7,
Mark-to-Market Performance Summary,Data,Stocks,XRAY,187,187,53.0750,53.3500,51.42,0,0,0,51.42,
Mark-to-Market Performance Summary,Data,Stocks,XRX,329,329,30.5100,30.7900,92.12,0,0,0,92.12,
Mark-to-Market Performance Summary,Data,Stocks,ZBH,-73,-73,134.0700,135.9500,-137.24,0,0,0,-137.24,
Mark-to-Market Performance Summary,Data,Total,,,,,,1033.78,-362.91,-36.441823037,0,634.428176963,
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,1033.78,-362.91,-36.441823037,0,634.428176963,
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code
Realized & Unrealized Performance Summary,Data,Stocks,A,0,131.774022,0,0,0,131.774022,0,0,0,0,0,131.774022,
Realized & Unrealized Performance Summary,Data,Stocks,ABC,0,0,0,0,0,0,0,-702.092632,0,0,-702.092632,-702.092632,
Realized & Unrealized Performance Summary,Data,Stocks,ACN,0,0,0,0,0,0,0,-545.44,0,0,-545.44,-545.44,
Realized & Unrealized Performance Summary,Data,Stocks,ADBE,0,0,0,0,0,0,0,-42.88,0,0,-42.88,-42.88,
Realized & Unrealized Performance Summary,Data,Stocks,ADI,0,0,0,0,0,0,0,-107.47,0,0,-107.47,-107.47,
Realized & Unrealized Performance Summary,Data,Stocks,ADP,0,0,0,0,0,0,0,-22.915455,0,0,-22.915455,-22.915455,
Realized & Unrealized Performance Summary,Data,Stocks,ADSK,0,0,0,0,0,0,205.31,0,0,0,205.31,205.31,
Realized & Unrealized Performance Summary,Data,Stocks,AEP,0,0,0,0,0,0,17.19,0,0,0,17.19,17.19,
Realized & Unrealized Performance Summary,Data,Stocks,AES,0,0,0,0,0,0,0,-716.738051,0,0,-716.738051,-716.738051,
Realized & Unrealized Performance Summary,Data,Stocks,AFL,0,0,0,0,0,0,0,-469.670728,0,0,-469.670728,-469.670728,
Realized & Unrealized Performance Summary,Data,Stocks,AIG,0,60.139218,0,0,0,60.139218,0,0,0,0,0,60.139218,
Realized & Unrealized Performance Summary,Data,Stocks,AIV,0,0,0,0,0,0,0,-51.18866,0,0,-51.18866,-51.18866,
Realized & Unrealized Performance Summary,Data,Stocks,AIZ,0,0,0,0,0,0,32.382271,0,0,0,32.382271,32.382271,
Realized & Unrealized Performance Summary,Data,Stocks,ALB,0,0,0,0,0,0,0,-574.3,0,0,-574.3,-574.3,
Realized & Unrealized Performance Summary,Data,Stocks,ALGN,0,0,0,0,0,0,3428.54,0,0,0,3428.54,3428.54,
Realized & Unrealized Performance Summary,Data,Stocks,ALK,0,0,0,0,0,0,0,-489.225347,0,0,-489.225347,-489.225347,
Realized & Unrealized Performance Summary,Data,Stocks,ALLE,0,0,0,0,0,0,0,-1185.588578,0,0,-1185.588578,-1185.588578,
Realized & Unrealized Performance Summary,Data,Stocks,AMP,0,0,0,0,0,0,0,-1533.377729,0,0,-1533.377729,-1533.377729,
Realized & Unrealized Performance Summary,Data,Stocks,AMZN,0,0,0,0,0,0,0,-44.91,0,0,-44.91,-44.91,
Realized & Unrealized Performance Summary,Data,Stocks,ANET,0,0,0,0,0,0,0,-391.813306,0,0,-391.813306,-391.813306,
Realized & Unrealized Performance Summary,Data,Stocks,ANTM,0,0,0,0,0,0,0,-82.876605,0,0,-82.876605,-82.876605,
Realized & Unrealized Performance Summary,Data,Stocks,AOS,0,0,0,0,0,0,245,0,0,0,245,245,
Realized & Unrealized Performance Summary,Data,Stocks,APH,0,0,0,0,0,0,0,-544.498972,0,0,-544.498972,-544.498972,
Realized & Unrealized Performance Summary,Data,Stocks,APTV,0,0,0,0,0,0,46.73,0,0,0,46.73,46.73,
Realized & Unrealized Performance Summary,Data,Stocks,ARNC,0,0,-10.448887,0,0,-10.448887,0,0,0,0,0,-10.448887,
Realized & Unrealized Performance Summary,Data,Stocks,AVB,0,0,0,0,0,0,0,-149.263638,0,0,-149.263638,-149.263638,
Realized & Unrealized Performance Summary,Data,Stocks,AVGO,0,106.28544,0,0,0,106.28544,0,0,0,0,0,106.28544,
Realized & Unrealized Performance Summary,Data,Stocks,AVY,0,0,0,0,0,0,0,-1323.868087,0,0,-1323.868087,-1323.868087,
Realized & Unrealized Performance Summary,Data,Stocks,AXP,0,0,0,0,0,0,0,-22,0,0,-22,-22,
Realized & Unrealized Performance Summary,Data,Stocks,BBY,0,0,0,0,0,0,21.692316,0,0,0,21.692316,21.692316,
Realized & Unrealized Performance Summary,Data,Stocks,BDX,0,0,0,0,0,0,0,-189,0,0,-189,-189,
Realized & Unrealized Performance Summary,Data,Stocks,BEN,0,0,0,0,0,0,519.85,0,0,0,519.85,519.85,
Realized & Unrealized Performance Summary,Data,Stocks,BIIB,0,0,0,0,0,0,2471.54,0,0,0,2471.54,2471.54,
Realized & Unrealized Performance Summary,Data,Stocks,BK,0,0,0,0,0,0,189,0,0,0,189,189,
Realized & Unrealized Performance Summary,Data,Stocks,BLK,0,0,0,0,0,0,0,-225.610444,0,0,-225.610444,-225.610444,
Realized & Unrealized Performance Summary,Data,Stocks,BSX,0,0,0,0,0,0,0,-791.938308,0,0,-791.938308,-791.938308,
Realized & Unrealized Performance Summary,Data,Stocks,BWA,0,0,0,0,0,0,0,-190.49687,0,0,-190.49687,-190.49687,
Realized & Unrealized Performance Summary,Data,Stocks,C,0,0,0,0,0,0,0,-817.074532,0,0,-817.074532,-817.074532,
Realized & Unrealized Performance Summary,Data,Stocks,CAH,0,0,0,0,0,0,0,-118.401854,0,0,-118.401854,-118.401854,
Realized & Unrealized Performance Summary,Data,Stocks,CDNS,0,0,0,0,0,0,268.88,0,0,0,268.88,268.88,
Realized & Unrealized Performance Summary,Data,Stocks,CERN,0,0,0,0,0,0,148.715529,0,0,0,148.715529,148.715529,
Realized & Unrealized Performance Summary,Data,Stocks,CFG,0,0,0,0,0,0,0,-85.335361,0,0,-85.335361,-85.335361,
Realized & Unrealized Performance Summary,Data,Stocks,CHD,0,262.541338,0,0,0,262.541338,0,0,0,0,0,262.541338,
Realized & Unrealized Performance Summary,Data,Stocks,CHRW,0,952.959651,0,0,0,952.959651,0,0,0,0,0,952.959651,
Realized & Unrealized Performance Summary,Data,Stocks,CHTR,0,0,0,0,0,0,0,-873.13707,0,0,-873.13707,-873.13707,
Realized & Unrealized Performance Summary,Data,Stocks,CI,0,0,0,0,0,0,0,-597.565622,0,0,-597.565622,-597.565622,
Realized & Unrealized Performance Summary,Data,Stocks,CINF,0,0,0,0,0,0,0,-305.48,0,0,-305.48,-305.48,
Realized & Unrealized Performance Summary,Data,Stocks,CL,0,0,0,0,0,0,0,-469.6,0,0,-469.6,-469.6,
Realized & Unrealized Performance Summary,Data,Stocks,CNC,0,128.346275,0,0,0,128.346275,0,0,0,0,0,128.346275,
Realized & Unrealized Performance Summary,Data,Stocks,COF,0,0,0,0,0,0,559.55,0,0,0,559.55,559.55,
Realized & Unrealized Performance Summary,Data,Stocks,COG,0,0,0,0,0,0,348.844481,0,0,0,348.844481,348.844481,
Realized & Unrealized Performance Summary,Data,Stocks,COO,0,0,0,0,0,0,0,-72.24,0,0,-72.24,-72.24,
Realized & Unrealized Performance Summary,Data,Stocks,CPB,0,292.368072,0,0,0,292.368072,0,0,0,0,0,292.368072,
Realized & Unrealized Performance Summary,Data,Stocks,CRM,0,0,0,0,0,0,139.58,0,0,0,139.58,139.58,
Realized & Unrealized Performance Summary,Data,Stocks,CSCO,0,0,0,0,0,0,0,-152.513481,0,0,-152.513481,-152.513481,
Realized & Unrealized Performance Summary,Data,Stocks,CTSH,0,0,0,0,0,0,0,-112.47,0,0,-112.47,-112.47,
Realized & Unrealized Performance Summary,Data,Stocks,CVS,0,0,0,0,0,0,95.434109,0,0,0,95.434109,95.434109,
Realized & Unrealized Performance Summary,Data,Stocks,CVX,0,0,0,0,0,0,448.68,0,0,0,448.68,448.68,
Realized & Unrealized Performance Summary,Data,Stocks,CXO,0,0,0,0,0,0,0,-743,0,0,-743,-743,
Realized & Unrealized Performance Summary,Data,Stocks,D,0,0,0,0,0,0,0,-285.384842,0,0,-285.384842,-285.384842,
Realized & Unrealized Performance Summary,Data,Stocks,DD,0,0,0,0,0,0,126.5,0,0,0,126.5,126.5,
Realized & Unrealized Performance Summary,Data,Stocks,DE,0,0,0,0,0,0,0,-647.87647,0,0,-647.87647,-647.87647,
Realized & Unrealized Performance Summary,Data,Stocks,DGX,0,0,0,0,0,0,0,-290.06,0,0,-290.06,-290.06,
Realized & Unrealized Performance Summary,Data,Stocks,DHI,0,0,0,0,0,0,393.950168,0,0,0,393.950168,393.950168,
Realized & Unrealized Performance Summary,Data,Stocks,DISCK,0,0,0,0,0,0,0,-269.721217,0,0,-269.721217,-269.721217,
Realized & Unrealized Performance Summary,Data,Stocks,DISH,0,0,0,0,0,0,0,-27.601975,0,0,-27.601975,-27.601975,
Realized & Unrealized Performance Summary,Data,Stocks,DLR,0,0,0,0,0,0,31.035043,0,0,0,31.035043,31.035043,
Realized & Unrealized Performance Summary,Data,Stocks,DOV,0,0,0,0,0,0,0,-411.219128,0,0,-411.219128,-411.219128,
Realized & Unrealized Performance Summary,Data,Stocks,DRE,0,0,0,0,0,0,0,-376.367604,0,0,-376.367604,-376.367604,
Realized & Unrealized Performance Summary,Data,Stocks,DVN,0,0,0,0,0,0,0,-366.55,0,0,-366.55,-366.55,
Realized & Unrealized Performance Summary,Data,Stocks,EBAY,0,0,0,0,0,0,754.211713,0,0,0,754.211713,754.211713,
Realized & Unrealized Performance Summary,Data,Stocks,ECL,0,0,0,0,0,0,0,-137.24,0,0,-137.24,-137.24,
Realized & Unrealized Performance Summary,Data,Stocks,ED,0,0,0,0,0,0,221.85889,0,0,0,221.85889,221.85889,
Realized & Unrealized Performance Summary,Data,Stocks,EIX,0,0,0,0,0,0,0,-997.8,0,0,-997.8,-997.8,
Realized & Unrealized Performance Summary,Data,Stocks,EMN,0,0,0,0,0,0,0,-620.46511,0,0,-620.46511,-620.46511,
Realized & Unrealized Performance Summary,Data,Stocks,EOG,0,0,0,0,0,0,0,-61.2,0,0,-61.2,-61.2,
Realized & Unrealized Performance Summary,Data,Stocks,ESS,0,0,0,0,0,0,0,-17.44,0,0,-17.44,-17.44,
Realized & Unrealized Performance Summary,Data,Stocks,ETFC,0,0,0,0,0,0,273.1,0,0,0,273.1,273.1,
Realized & Unrealized Performance Summary,Data,Stocks,ETN,0,0,0,0,0,0,329.4,0,0,0,329.4,329.4,
Realized & Unrealized Performance Summary,Data,Stocks,EXR,0,0,0,0,0,0,473.500432,0,0,0,473.500432,473.500432,
Realized & Unrealized Performance Summary,Data,Stocks,FANG,0,72.526878,0,0,0,72.526878,0,0,0,0,0,72.526878,
Realized & Unrealized Performance Summary,Data,Stocks,FAST,0,0,0,0,0,0,1923.395,0,0,0,1923.395,1923.395,
Realized & Unrealized Performance Summary,Data,Stocks,FB,0,0,0,0,0,0,447.25,0,0,0,447.25,447.25,
Realized & Unrealized Performance Summary,Data,Stocks,FBHS,0,0,0,0,0,0,0,-21.02,0,0,-21.02,-21.02,
Realized & Unrealized Performance Summary,Data,Stocks,FCX,0,0,0,0,0,0,1313.45,0,0,0,1313.45,1313.45,
Realized & Unrealized Performance Summary,Data,Stocks,FITB,0,0,0,0,0,0,1090.53,0,0,0,1090.53,1090.53,
Realized & Unrealized Performance Summary,Data,Stocks,FLS,0,0,0,0,0,0,1038.375,0,0,0,1038.375,1038.375,
Realized & Unrealized Performance Summary,Data,Stocks,FRC,0,0,0,0,0,0,0,-132.81748,0,0,-132.81748,-132.81748,
Realized & Unrealized Performance Summary,Data,Stocks,FTI,0,0,0,0,0,0,0,-138.204484,0,0,-138.204484,-138.204484,
Realized & Unrealized Performance Summary,Data,Stocks,GD,0,0,0,0,0,0,2.776735,0,0,0,2.776735,2.776735,
Realized & Unrealized Performance Summary,Data,Stocks,GM,0,0,0,0,0,0,215.855,0,0,0,215.855,215.855,
Realized & Unrealized Performance Summary,Data,Stocks,GOOG,0,0,0,0,0,0,0,-679.120543,0,0,-679.120543,-679.120543,
Realized & Unrealized Performance Summary,Data,Stocks,GOOGL,0,0,0,0,0,0,0,-319.047828,0,0,-319.047828,-319.047828,
Realized & Unrealized Performance Summary,Data,Stocks,GPC,0,0,0,0,0,0,104.52,0,0,0,104.52,104.52,
Realized & Unrealized Performance Summary,Data,Stocks,GS,0,0,0,0,0,0,0,-413.053543,0,0,-413.053543,-413.053543,
Realized & Unrealized Performance Summary,Data,Stocks,GWW,0,0,0,0,0,0,0,-256.964759,0,0,-256.964759,-256.964759,
Realized & Unrealized Performance Summary,Data,Stocks,HAS,0,0,0,0,0,0,0,-2096.92,0,0,-2096.92,-2096.92,
Realized & Unrealized Performance Summary,Data,Stocks,HBI,0,0,0,0,0,0,0,-999.89471,0,0,-999.89471,-999.89471,
Realized & Unrealized Performance Summary,Data,Stocks,HCA,0,0,0,0,0,0,108.6,0,0,0,108.6,108.6,
Realized & Unrealized Performance Summary,Data,Stocks,HCP,0,0,-112.240875,0,0,-112.240875,0,0,0,0,0,-112.240875,
Realized & Unrealized Performance Summary,Data,Stocks,HES,0,0,0,0,0,0,3.532357,0,0,0,3.532357,3.532357,
Realized & Unrealized Performance Summary,Data,Stocks,HFC,0,0,0,0,0,0,0,-116.729445,0,0,-116.729445,-116.729445,
Realized & Unrealized Performance Summary,Data,Stocks,HIG,0,0,0,0,0,0,0,-386.9,0,0,-386.9,-386.9,
Realized & Unrealized Performance Summary,Data,Stocks,HOLX,0,0,0,0,0,0,0,-33.782147,0,0,-33.782147,-33.782147,
Realized & Unrealized Performance Summary,Data,Stocks,HPE,0,0,0,0,0,0,999.9,0,0,0,999.9,999.9,
Realized & Unrealized Performance Summary,Data,Stocks,HPQ,0,0,0,0,0,0,277.4,0,0,0,277.4,277.4,
Realized & Unrealized Performance Summary,Data,Stocks,HRB,0,0,0,0,0,0,0,-574.777413,0,0,-574.777413,-574.777413,
Realized & Unrealized Performance Summary,Data,Stocks,HRL,0,0,-31.085413,0,0,-31.085413,0,0,0,0,0,-31.085413,
Realized & Unrealized Performance Summary,Data,Stocks,HSIC,0,0,0,0,0,0,0,-18.71,0,0,-18.71,-18.71,
Realized & Unrealized Performance Summary,Data,Stocks,HST,0,0,0,0,0,0,0,-67.965,0,0,-67.965,-67.965,
Realized & Unrealized Performance Summary,Data,Stocks,IBM,0,0,0,0,0,0,0,-469.3,0,0,-469.3,-469.3,
Realized & Unrealized Performance Summary,Data,Stocks,IEX,0,0,0,0,0,0,0,-54.41,0,0,-54.41,-54.41,
Realized & Unrealized Performance Summary,Data,Stocks,IPG,0,0,0,0,0,0,793,0,0,0,793,793,
Realized & Unrealized Performance Summary,Data,Stocks,IPGP,0,0,0,0,0,0,319.4,0,0,0,319.4,319.4,
Realized & Unrealized Performance Summary,Data,Stocks,IR,0,0,0,0,0,0,385.75,0,0,0,385.75,385.75,
Realized & Unrealized Performance Summary,Data,Stocks,IRM,0,0,0,0,0,0,245.84,0,0,0,245.84,245.84,
Realized & Unrealized Performance Summary,Data,Stocks,ISRG,0,0,0,0,0,0,0,-445.812775,0,0,-445.812775,-445.812775,
Realized & Unrealized Performance Summary,Data,Stocks,IT,0,0,0,0,0,0,7.97,0,0,0,7.97,7.97,
Realized & Unrealized Performance Summary,Data,Stocks,IVZ,0,0,0,0,0,0,216.985,0,0,0,216.985,216.985,
Realized & Unrealized Performance Summary,Data,Stocks,JBHT,0,0,0,0,0,0,810.52,0,0,0,810.52,810.52,
Realized & Unrealized Performance Summary,Data,Stocks,JEC,0,0,0,0,0,0,0,-116.77945,0,0,-116.77945,-116.77945,
Realized & Unrealized Performance Summary,Data,Stocks,JEF,0,0,0,0,0,0,340.613951,0,0,0,340.613951,340.613951,
Realized & Unrealized Performance Summary,Data,Stocks,JNJ,0,0,0,0,0,0,41.904044,0,0,0,41.904044,41.904044,
Realized & Unrealized Performance Summary,Data,Stocks,JNPR,0,0,0,0,0,0,0,-419.360002,0,0,-419.360002,-419.360002,
Realized & Unrealized Performance Summary,Data,Stocks,JPM,0,0,0,0,0,0,0,-916.421978,0,0,-916.421978,-916.421978,
Realized & Unrealized Performance Summary,Data,Stocks,JWN,0,0,0,0,0,0,0,-1839.484766,0,0,-1839.484766,-1839.484766,
Realized & Unrealized Performance Summary,Data,Stocks,K,0,0,0,0,0,0,0,-57,0,0,-57,-57,
Realized & Unrealized Performance Summary,Data,Stocks,KIM,0,0,0,0,0,0,0,-783.965652,0,0,-783.965652,-783.965652,
Realized & Unrealized Performance Summary,Data,Stocks,KLAC,0,0,0,0,0,0,0,-846.04794,0,0,-846.04794,-846.04794,
Realized & Unrealized Performance Summary,Data,Stocks,KMX,0,0,0,0,0,0,1208.3,0,0,0,1208.3,1208.3,
Realized & Unrealized Performance Summary,Data,Stocks,KO,0,0,0,0,0,0,0,-93.5,0,0,-93.5,-93.5,
Realized & Unrealized Performance Summary,Data,Stocks,KR,0,0,-565.907934,0,0,-565.907934,0,0,0,0,0,-565.907934,
Realized & Unrealized Performance Summary,Data,Stocks,KSS,0,0,0,0,0,0,0,-127.909374,0,0,-127.909374,-127.909374,
Realized & Unrealized Performance Summary,Data,Stocks,LB,0,0,0,0,0,0,0,-150.264613,0,0,-150.264613,-150.264613,
Realized & Unrealized Performance Summary,Data,Stocks,LEG,0,0,0,0,0,0,1294.42,0,0,0,1294.42,1294.42,
Realized & Unrealized Performance Summary,Data,Stocks,LLY,0,0,-194.454036,0,0,-194.454036,0,0,0,0,0,-194.454036,
Realized & Unrealized Performance Summary,Data,Stocks,LRCX,0,0,0,0,0,0,1983.92,0,0,0,1983.92,1983.92,
Realized & Unrealized Performance Summary,Data,Stocks,LUV,0,0,0,0,0,0,0,-682.171277,0,0,-682.171277,-682.171277,
Realized & Unrealized Performance Summary,Data,Stocks,LYB,0,0,0,0,0,0,0,-846.12167,0,0,-846.12167,-846.12167,
Realized & Unrealized Performance Summary,Data,Stocks,MAA,0,0,0,0,0,0,0,-417.015653,0,0,-417.015653,-417.015653,
Realized & Unrealized Performance Summary,Data,Stocks,MCHP,0,0,0,0,0,0,0,-218.799951,0,0,-218.799951,-218.799951,
Realized & Unrealized Performance Summary,Data,Stocks,MCK,0,0,0,0,0,0,0,-292.72,0,0,-292.72,-292.72,
Realized & Unrealized Performance Summary,Data,Stocks,MDT,0,0,0,0,0,0,30.96,0,0,0,30.96,30.96,
Realized & Unrealized Performance Summary,Data,Stocks,MGM,0,0,0,0,0,0,0,-550.401345,0,0,-550.401345,-550.401345,
Realized & Unrealized Performance Summary,Data,Stocks,MLM,0,0,0,0,0,0,0,-103.814033,0,0,-103.814033,-103.814033,
Realized & Unrealized Performance Summary,Data,Stocks,MO,0,0,0,0,0,0,1083.295,0,0,0,1083.295,1083.295,
Realized & Unrealized Performance Summary,Data,Stocks,MOS,0,0,0,0,0,0,711.165,0,0,0,711.165,711.165,
Realized & Unrealized Performance Summary,Data,Stocks,MPC,0,0,0,0,0,0,0,-341.426715,0,0,-341.426715,-341.426715,
Realized & Unrealized Performance Summary,Data,Stocks,MRK,0,0,0,0,0,0,0,-187.83,0,0,-187.83,-187.83,
Realized & Unrealized Performance Summary,Data,Stocks,MRO,0,0,0,0,0,0,208.795337,0,0,0,208.795337,208.795337,
Realized & Unrealized Performance Summary,Data,Stocks,MTB,0,0,0,0,0,0,183.96,0,0,0,183.96,183.96,
Realized & Unrealized Performance Summary,Data,Stocks,MU,0,0,0,0,0,0,1352.565,0,0,0,1352.565,1352.565,
Realized & Unrealized Performance Summary,Data,Stocks,NCLH,0,0,0,0,0,0,495.91,0,0,0,495.91,495.91,
Realized & Unrealized Performance Summary,Data,Stocks,NKE,0,0,0,0,0,0,0,-91.47,0,0,-91.47,-91.47,
Realized & Unrealized Performance Summary,Data,Stocks,NOC,0,0,0,0,0,0,84.386355,0,0,0,84.386355,84.386355,
Realized & Unrealized Performance Summary,Data,Stocks,NOV,0,0,0,0,0,0,0,-262.951073,0,0,-262.951073,-262.951073,
Realized & Unrealized Performance Summary,Data,Stocks,NTRS,0,0,0,0,0,0,0,-1547.061277,0,0,-1547.061277,-1547.061277,
Realized & Unrealized Performance Summary,Data,Stocks,NUE,0,0,0,0,0,0,378.76,0,0,0,378.76,378.76,
Realized & Unrealized Performance Summary,Data,Stocks,NVDA,0,0,0,0,0,0,188.35,0,0,0,188.35,188.35,
Realized & Unrealized Performance Summary,Data,Stocks,NWS,0,0,0,0,0,0,0,-65.210896,0,0,-65.210896,-65.210896,
Realized & Unrealized Performance Summary,Data,Stocks,NWSA,0,0,0,0,0,0,0,-187.46459,0,0,-187.46459,-187.46459,
Realized & Unrealized Performance Summary,Data,Stocks,ORCL,0,0,0,0,0,0,73,0,0,0,73,73,
Realized & Unrealized Performance Summary,Data,Stocks,PAYX,0,0,0,0,0,0,0,-42.3,0,0,-42.3,-42.3,
Realized & Unrealized Performance Summary,Data,Stocks,PEG,0,0,0,0,0,0,0,-74.126317,0,0,-74.126317,-74.126317,
Realized & Unrealized Performance Summary,Data,Stocks,PFE,0,0,0,0,0,0,394.785,0,0,0,394.785,394.785,
Realized & Unrealized Performance Summary,Data,Stocks,PG,0,0,0,0,0,0,86.66,0,0,0,86.66,86.66,
Realized & Unrealized Performance Summary,Data,Stocks,PHM,0,0,0,0,0,0,0,-963.510305,0,0,-963.510305,-963.510305,
Realized & Unrealized Performance Summary,Data,Stocks,PKG,0,0,0,0,0,0,641.2,0,0,0,641.2,641.2,
Realized & Unrealized Performance Summary,Data,Stocks,PM,0,0,0,0,0,0,578.21,0,0,0,578.21,578.21,
Realized & Unrealized Performance Summary,Data,Stocks,PNW,0,0,0,0,0,0,529.660111,0,0,0,529.660111,529.660111,
Realized & Unrealized Performance Summary,Data,Stocks,PPG,0,0,0,0,0,0,28.656958,0,0,0,28.656958,28.656958,
Realized & Unrealized Performance Summary,Data,Stocks,PPL,0,0,0,0,0,0,0,-584.455816,0,0,-584.455816,-584.455816,
Realized & Unrealized Performance Summary,Data,Stocks,PSX,0,0,0,0,0,0,0,-473.511916,0,0,-473.511916,-473.511916,
Realized & Unrealized Performance Summary,Data,Stocks,PVH,0,0,0,0,0,0,0,-284.121289,0,0,-284.121289,-284.121289,
Realized & Unrealized Performance Summary,Data,Stocks,PWR,0,0,0,0,0,0,0,-222.581006,0,0,-222.581006,-222.581006,
Realized & Unrealized Performance Summary,Data,Stocks,PXD,0,0,0,0,0,0,0,-377.5,0,0,-377.5,-377.5,
Realized & Unrealized Performance Summary,Data,Stocks,PYPL,0,0,0,0,0,0,319.1,0,0,0,319.1,319.1,
Realized & Unrealized Performance Summary,Data,Stocks,QRVO,0,0,0,0,0,0,93.5,0,0,0,93.5,93.5,
Realized & Unrealized Performance Summary,Data,Stocks,RCL,0,0,0,0,0,0,0,-468.399834,0,0,-468.399834,-468.399834,
Realized & Unrealized Performance Summary,Data,Stocks,RE,0,0,0,0,0,0,488.991025,0,0,0,488.991025,488.991025,
Realized & Unrealized Performance Summary,Data,Stocks,REG,0,0,0,0,0,0,29.87,0,0,0,29.87,29.87,
Realized & Unrealized Performance Summary,Data,Stocks,REGN,0,0,0,0,0,0,56.42,0,0,0,56.42,56.42,
Realized & Unrealized Performance Summary,Data,Stocks,RHI,0,0,0,0,0,0,0,-88.199113,0,0,-88.199113,-88.199113,
Realized & Unrealized Performance Summary,Data,Stocks,ROK,0,0,0,0,0,0,156.32,0,0,0,156.32,156.32,
