TIERS_FACTURABLE;TIERS_ASSOCIE;CODE_TRANSMISSION;REGROUPEMENT
MEP BEZIERS (RO 993410617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP BEZIERS (RO 993410617);CMU CPAM (RC 99999997);M;89
MEP BEZIERS (RO 993410617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP MARSEILLE (RO 991310617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP MARSEILLE (RO 991310617);MGEN INTERNATIONALE (RC 27777777);;
MEP MARSEILLE (RO 991310617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP MARSEILLE (RO 991310617);MGEN ACCES SANTE (RC 27011000);;
MEP MARSEILLE (RO 991310617);CMU CPAM (RC 99999997);M;89
MEP MARSEILLE (RO 991310617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP MARSEILLE (RO 991310617);MUTUELLE SORUAL (RC 67100149);;
MEP MARSEILLE (RO 991310617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP MARSEILLE (RO 991310617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP MARSEILLE (RO 991310617);CMU AUTRES (RC 88888888);M;89
MEP MARSEILLE (RO 991310617);AME PARTIELLE (RC 75500017);;
MEP MONTPELLIER (RO 993420617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP MONTPELLIER (RO 993420617);MGEN INTERNATIONALE (RC 27777777);;
MEP MONTPELLIER (RO 993420617);MGEN ACCES SANTE (RC 27011000);;
MEP MONTPELLIER (RO 993420617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP MONTPELLIER (RO 993420617);CMU CPAM (RC 99999997);M;89
MEP MONTPELLIER (RO 993420617);AME PARTIELLE (RC 75500017);;
MEP MONTPELLIER (RO 993420617);MUTUELLE SORUAL (RC 67100149);;
MEP MONTPELLIER (RO 993420617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP MONTPELLIER (RO 993420617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP MONTPELLIER (RO 993420617);CMU AUTRES (RC 88888888);M;89
MEP MONTPELLIER (RO 993420617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP NARBONNE (RO 991110617);AME PARTIELLE (RC 75500017);;
MEP NARBONNE (RO 991110617);CMU CPAM (RC 99999997);M;89
MEP NARBONNE (RO 991110617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP NARBONNE (RO 991110617);MGEN ACCES SANTE (RC 27011000);;
MEP NARBONNE (RO 991110617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP NARBONNE (RO 991110617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP NARBONNE (RO 991110617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP NARBONNE (RO 991110617);MUTUELLE SORUAL (RC 67100149);;
MEP NARBONNE (RO 991110617);CMU AUTRES (RC 88888888);M;89
MEP NARBONNE (RO 991110617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP NARBONNE (RO 991110617);MGEN INTERNATIONALE (RC 27777777);;
MEP NICE (RO 990610617);CMU CPAM (RC 99999997);M;89
MEP NICE (RO 990610617);MGEN ACCES SANTE (RC 27011000);;
MEP NICE (RO 990610617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP NICE (RO 990610617);MGEN INTERNATIONALE (RC 27777777);;
MEP NICE (RO 990610617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP NICE (RO 990610617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP NICE (RO 990610617);AME PARTIELLE (RC 75500017);;
MEP NICE (RO 990610617);CMU AUTRES (RC 88888888);M;89
MEP NICE (RO 990610617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP NICE (RO 990610617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP NICE (RO 990610617);MUTUELLE SORUAL (RC 67100149);;
MEP NIMES (RO 993010617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP NIMES (RO 993010617);MGEN INTERNATIONALE (RC 27777777);;
MEP NIMES (RO 993010617);CMU AUTRES (RC 88888888);M;89
MEP NIMES (RO 993010617);AME PARTIELLE (RC 75500017);;
MEP NIMES (RO 993010617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP NIMES (RO 993010617);CMU CPAM (RC 99999997);M;89
MEP NIMES (RO 993010617);MGEN ACCES SANTE (RC 27011000);;
MEP NIMES (RO 993010617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP NIMES (RO 993010617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP NIMES (RO 993010617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP NIMES (RO 993010617);MUTUELLE SORUAL (RC 67100149);;
MEP PERPIGNAN (RO 996610617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP PERPIGNAN (RO 996610617);MGEN INTERNATIONALE (RC 27777777);;
MEP PERPIGNAN (RO 996610617);MGEN ACCES SANTE (RC 27011000);;
MEP PERPIGNAN (RO 996610617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP PERPIGNAN (RO 996610617);AME PARTIELLE (RC 75500017);;
MEP PERPIGNAN (RO 996610617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP PERPIGNAN (RO 996610617);CMU AUTRES (RC 88888888);M;89
MEP PERPIGNAN (RO 996610617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP PERPIGNAN (RO 996610617);MUTUELLE SORUAL (RC 67100149);;
MEP PERPIGNAN (RO 996610617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP PERPIGNAN (RO 996610617);CMU CPAM (RC 99999997);M;89
MEP TOULON (RO 998310617);ACS CONTRAT A - BASE (RC 11111119);M;91
MEP TOULON (RO 998310617);MGEN INTERNATIONALE (RC 27777777);;
MEP TOULON (RO 998310617);MGEN ACCES SANTE (RC 27011000);;
MEP TOULON (RO 998310617);AME PARTIELLE (RC 75500017);;
MEP TOULON (RO 998310617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MEP TOULON (RO 998310617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MEP TOULON (RO 998310617);CMU AUTRES (RC 88888888);M;89
MEP TOULON (RO 998310617);SMEREP ILE DE FRANCE (RC 75149757);;
MEP TOULON (RO 998310617);MUTUELLE SORUAL (RC 67100149);;
MEP TOULON (RO 998310617);MGEN SANTE PREVOYANCE (RC 27200000);;
MEP TOULON (RO 998310617);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. BOBIGNY (RO 949310504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. BOBIGNY (RO 949310504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. BOBIGNY (RO 949310504);MMJ (RC 28300000);;
MFP  M.A.I. BOBIGNY (RO 949310504);MMJ (RC 28400000);;
MFP  M.A.I. BOBIGNY (RO 949310504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. BOBIGNY (RO 949310504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. BOBIGNY (RO 949310504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. BOBIGNY (RO 949310504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. BOBIGNY (RO 949310504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. BOBIGNY (RO 949310504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. BOBIGNY (RO 949310504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. BOBIGNY (RO 949310504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. BOBIGNY (RO 949310504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. BOBIGNY (RO 949310504);MMJ (RC 28100000);;
MFP  M.A.I. BOBIGNY (RO 949310504);MMJ (RC 28200000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MMJ (RC 28200000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MMJ (RC 28400000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MMJ (RC 28100000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MMJ (RC 28300000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. CERGY-PONTOIS (RO 949510504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. CRETEIL (RO 949410504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. CRETEIL (RO 949410504);MMJ (RC 28100000);;
MFP  M.A.I. CRETEIL (RO 949410504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. CRETEIL (RO 949410504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. CRETEIL (RO 949410504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. CRETEIL (RO 949410504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. CRETEIL (RO 949410504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. CRETEIL (RO 949410504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. CRETEIL (RO 949410504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. CRETEIL (RO 949410504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. CRETEIL (RO 949410504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. CRETEIL (RO 949410504);MMJ (RC 28400000);;
MFP  M.A.I. CRETEIL (RO 949410504);MMJ (RC 28300000);;
MFP  M.A.I. CRETEIL (RO 949410504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. CRETEIL (RO 949410504);MMJ (RC 28200000);;
MFP  M.A.I. EVRY (RO 949110504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. EVRY (RO 949110504);MMJ (RC 28100000);;
MFP  M.A.I. EVRY (RO 949110504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. EVRY (RO 949110504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. EVRY (RO 949110504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. EVRY (RO 949110504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. EVRY (RO 949110504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. EVRY (RO 949110504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. EVRY (RO 949110504);MMJ (RC 28400000);;
MFP  M.A.I. EVRY (RO 949110504);MMJ (RC 28200000);;
MFP  M.A.I. EVRY (RO 949110504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. EVRY (RO 949110504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. EVRY (RO 949110504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. EVRY (RO 949110504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. EVRY (RO 949110504);MMJ (RC 28300000);;
MFP  M.A.I. NANTERRE (RO 949210504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. NANTERRE (RO 949210504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. NANTERRE (RO 949210504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. NANTERRE (RO 949210504);MMJ (RC 28100000);;
MFP  M.A.I. NANTERRE (RO 949210504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. NANTERRE (RO 949210504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. NANTERRE (RO 949210504);MMJ (RC 28200000);;
MFP  M.A.I. NANTERRE (RO 949210504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. NANTERRE (RO 949210504);MMJ (RC 28300000);;
MFP  M.A.I. NANTERRE (RO 949210504);MMJ (RC 28400000);;
MFP  M.A.I. NANTERRE (RO 949210504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. NANTERRE (RO 949210504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. NANTERRE (RO 949210504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. NANTERRE (RO 949210504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. NANTERRE (RO 949210504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. PARIS (RO 947510504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. PARIS (RO 947510504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. PARIS (RO 947510504);CMU CPAM (RC 99999997);M;89
MFP  M.A.I. PARIS (RO 947510504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. PARIS (RO 947510504);MMJ (RC 28100000);;
MFP  M.A.I. PARIS (RO 947510504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. PARIS (RO 947510504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. PARIS (RO 947510504);MMJ (RC 28200000);;
MFP  M.A.I. PARIS (RO 947510504);MMJ (RC 28300000);;
MFP  M.A.I. PARIS (RO 947510504);MMJ (RC 28400000);;
MFP  M.A.I. PARIS (RO 947510504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. PARIS (RO 947510504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. PARIS (RO 947510504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. PARIS (RO 947510504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. PARIS (RO 947510504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. VERSAILLES (RO 947810504);MFP MCF RC SEUL (RC 75041758);;
MFP  M.A.I. VERSAILLES (RO 947810504);MGEN ACCES SANTE (RC 27011000);;
MFP  M.A.I. VERSAILLES (RO 947810504);MMJ (RC 28400000);;
MFP  M.A.I. VERSAILLES (RO 947810504);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.A.I. VERSAILLES (RO 947810504);MUTUELLE SORUAL (RC 67100149);;
MFP  M.A.I. VERSAILLES (RO 947810504);CMU AUTRES (RC 88888888);M;89
MFP  M.A.I. VERSAILLES (RO 947810504);MMJ (RC 28100000);;
MFP  M.A.I. VERSAILLES (RO 947810504);MMJ (RC 28200000);;
MFP  M.A.I. VERSAILLES (RO 947810504);MMJ (RC 28300000);;
MFP  M.A.I. VERSAILLES (RO 947810504);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.A.I. VERSAILLES (RO 947810504);AME PARTIELLE (RC 75500017);;
MFP  M.A.I. VERSAILLES (RO 947810504);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.A.I. VERSAILLES (RO 947810504);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.A.I. VERSAILLES (RO 947810504);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.A.I. VERSAILLES (RO 947810504);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. BOBIGNY (RO 949310532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. CERGY-PON (RO 949510532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. CRETEIL (RO 949410532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. CRETEIL (RO 949410532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. CRETEIL (RO 949410532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. CRETEIL (RO 949410532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. EVRY (RO 949110532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. EVRY (RO 949110532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. EVRY (RO 949110532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. EVRY (RO 949110532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. EVRY (RO 949110532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. EVRY (RO 949110532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. EVRY (RO 949110532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. EVRY (RO 949110532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. NANTERRE (RO 949210532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. NANTERRE (RO 949210532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. NANTERRE (RO 949210532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. PARIS (RO 947510532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. PARIS (RO 947510532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.D.E.F. PARIS (RO 947510532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. PARIS (RO 947510532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. PARIS (RO 947510532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. PARIS (RO 947510532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. PARIS (RO 947510532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. PARIS (RO 947510532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MMJ (RC 28400000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);CMU CPAM (RC 99999997);M;89
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MMJ (RC 28100000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MMJ (RC 28200000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MMJ (RC 28300000);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);AME PARTIELLE (RC 75500017);;
MFP  M.C.D.E.F. VERSAILLE (RO 947810532);CMU AUTRES (RC 88888888);M;89
MFP  M.C.F. BOBIGNY (RO 949310523);CMU AUTRES (RC 88888888);M;89
MFP  M.C.F. BOBIGNY (RO 949310523);MMJ (RC 28300000);;
MFP  M.C.F. BOBIGNY (RO 949310523);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP  M.C.F. BOBIGNY (RO 949310523);MMJ (RC 28400000);;
MFP  M.C.F. BOBIGNY (RO 949310523);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.F. BOBIGNY (RO 949310523);MFP MCF RC SEUL (RC 75041758);;
MFP  M.C.F. BOBIGNY (RO 949310523);AME PARTIELLE (RC 75500017);;
MFP  M.C.F. BOBIGNY (RO 949310523);MGEN ACCES SANTE (RC 27011000);;
MFP  M.C.F. BOBIGNY (RO 949310523);MGEN INTERNATIONALE (RC 27777777);;
MFP  M.C.F. BOBIGNY (RO 949310523);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP  M.C.F. BOBIGNY (RO 949310523);MMJ (RC 28200000);;
MFP  M.C.F. BOBIGNY (RO 949310523);MMJ (RC 28100000);;
MFP  M.C.F. BOBIGNY (RO 949310523);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP  M.C.F. BOBIGNY (RO 949310523);CMU CPAM (RC 99999997);M;89
MFP  M.C.F. BOBIGNY (RO 949310523);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP  M.C.F. CERGY-PONTOIS (RO 949510523);MUTUELLE SORUAL (RC 67100149);;
MFP  M.C.F. CERGY-PONTOIS (RO 949510523);MMJ (RC 28100000);;
MFP  M.C.F. CERGY-PONTOIS (RO 949510523);MGEN SANTE PREVOYANCE (RC 27200000);;
