ID,ENSEIGNE,ADRESSE,COMPLEMENT,CODE POSTAL,COMMUNE,NATURE DU DEBIT
2078,L'ALCHIMISTE,14 RUE DES TROIS MAGES,,13006,MARSEILLE,Ordinaire permanent
2079,LA CIVETTE DU LITTORAL,44 Chemin du Littoral ,SNC MLG,13002,MARSEILLE,Ordinaire permanent
2080,BAR TABAC DELACROIX,38 R MONTAIGNE,SNC JOALI,13012,MARSEILLE,Ordinaire permanent
2081,BAR TABAC DES PLATANES,3 BD PAUL CLAUDEL,TABAC,13009,MARSEILLE,Ordinaire permanent
2082,BAR TABAC DES CHARTREUX,122 AV DES CHARTREUX,,13004,MARSEILLE,Ordinaire permanent
2083,LE SAINT CHARLES,50 BD VOLTAIRE,TABAC,13001,MARSEILLE,Ordinaire permanent
2084,LE FLASH,1 BD PARDIGON,TABAC,13004,MARSEILLE,Ordinaire permanent
2085,LE TOTEM LE VOLTIGEUR,87 BD LONGCHAMP,TABAC,13001,MARSEILLE,Ordinaire permanent
2086,BRASSERIE TABAC LE CHATEAU GOMBERT,17 R CENTRALE,CHATEAU GOMBERT MARSEIL-TABAC-,13013,MARSEILLE,Ordinaire permanent
2087,LE FACULTE,167 BD BAILLE,SNC AVENIR,13005,MARSEILLE,Ordinaire permanent
2088,LE CYRANO,86 AV DE LA TIMONE,,13010,MARSEILLE,Ordinaire permanent
2089,TABAC LE KHEDIVE,28 R COLBERT,TABAC,13002,MARSEILLE,Ordinaire permanent
2090,LE CYRANO,9 rue ST PIERRE,TABAC,13005,MARSEILLE,Ordinaire permanent
2091,TABAC PRESSE ESTAQUE,44 PLAGE DE L ESTAQUE,SNC SOGGIA,13016,MARSEILLE,Ordinaire permanent
2092,BAR TABAC  DU CABOT ,54 BD DU CABOT,BAR TABAC DU CABOT,13009,MARSEILLE,Ordinaire permanent
2093,BAR DES 2 AMIS,59 R D AUBAGNE,TABAC,13001,MARSEILLE,Ordinaire permanent
2094,LA REGENCE,80 R ST FERREOL,TABAC,13006,MARSEILLE,Ordinaire permanent
2095,,129 BD VOLTAIRE,TABAC SNC STELSON,13821,LA-PENNE-SUR-HUVEAUNE,Ordinaire permanent
2096,TABAC PRESSE,RN 96  PONT DE L'ETOILE-,CENTRE COMMERCIAL LES PLATANES TABAC,13360,ROQUEVAIRE,Ordinaire permanent
2097,BRASSERIE TABAC,80 AV FREDERIC CHEVILLON,TABAC,13380,PLAN-DE-CUQUES,Ordinaire permanent
2098,,8 RN DU LOGIS NEUF,TABAC,13190,ALLAUCH,Ordinaire permanent
2099,LA FRANCAISE,73 Rue DE LA REPUBLIQUE,TABAC LA FRANCAISE,13400,AUBAGNE,Ordinaire permanent
2100,LE BEST,25 R DE LA REPUBLIQUE,TABAC,13400,AUBAGNE,Ordinaire permanent
2101,TABAC DE BEAUDINARD,1850 route de Beaudinard,,13400,AUBAGNE,Ordinaire permanent
2102,BAR TABAC LE WEEK END,11 COURS MARECHAL FOCH,TABAC,13400,AUBAGNE,Ordinaire permanent
2103,BAR TABAC LE CHALET DES POMMIERS,Route de Camp Major,LE CHALET DES POMMIERS ,13400,AUBAGNE,Ordinaire permanent
2104,TABAC LE MALGRE TOUT,10 avenue AndrŽ Bellon,QUARTIER ST JEAN ,13600,LA-CIOTAT,Ordinaire permanent
2105,TABAC O'THEO ,19  avenue ThŽodore Aubanel,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2106,BAR TABAC LE P'TIT MOUSSE,4 BD BERTOLUCCI,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2107,LA BOURGADE,3 AV VICTOR HUGO,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2108,TABACS CADEAUX - SNC SUZANNE,14 QU GENERAL DE GAULLE,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2109,LA CIVETTE DU PORT,8 QUAI GENERAL DE GAULLE,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2110,LE DOME,4 R DE LA REPUBLIQUE,TABAC,13001,MARSEILLE,Ordinaire permanent
2111,BAR TABAC DE L'æVƒCHƒ ,58 RUE DE L EVECHE,TABAC,13002,MARSEILLE,Ordinaire permanent
2112,LA CIVETTE DU PALAIS,66 RUE GRIGNAN,,13001,MARSEILLE,Ordinaire permanent
2113,LE CENTRAL,7 R DES FABRES,TABAC,13001,MARSEILLE,Ordinaire permanent
2114,LE CANEBIERE,3 LA CANEBIERE,TABAC,13001,MARSEILLE,Ordinaire permanent
2115,,34 BD DE LA LIBERTE,TABAC,13001,MARSEILLE,Ordinaire permanent
2116,LE GAULOIS,279 BD CHAVE,TABAC,13004,MARSEILLE,Ordinaire permanent
2117,LE BELAGIO,13 BD BAILLE,SNC MB13,13006,MARSEILLE,Ordinaire permanent
2118,LE ST CYR,7 BVD DE PONT DE VIVAUX,TABAC,13010,MARSEILLE,Ordinaire permanent
2119,BAR TABAC DE LA VISTE,123 RTE NATIONALE LA VISTE,TABAC,13015,MARSEILLE,Ordinaire permanent
2120,LE LYSIA,2 R DES AUGUSTINS,TABAC,13001,MARSEILLE,Ordinaire permanent
2121, TABAC LES KIFFEURS,61 rue TAPIS VERT,TABAC,13001,MARSEILLE,Ordinaire permanent
2122,BRASSERIE TABAC LOTO DE LA PLAINE,1 PL JEAN JAURES,TABAC,13005,MARSEILLE,Ordinaire permanent
2123,BAR TABAC LE BERGERAC,146 BD NATIONAL,,13003,MARSEILLE,Ordinaire permanent
2124,LE FLASH,21 rue de ROME,TABAC,13001,MARSEILLE,Ordinaire permanent
2125,LE FLINT,11 / 13 AV DE LA POINTE ROUGE,SNC LE FLINT,13008,MARSEILLE,Ordinaire permanent
2126,TABAC DE LA PLAGE,85 PROMENADE DE LA PLAGE,SNC LA PLAGE,13008,MARSEILLE,Ordinaire permanent
2127,LE MOHICAN,42 AV MARECHAL FOCH,TABAC,13004,MARSEILLE,Ordinaire permanent
2128,LE TOMTIP,95/97 BD DE LA BLANCARDE,SNC ROTANA+,13004,MARSEILLE,Ordinaire permanent
2129,BAR TABAC DES MURIERS,57  avenue Emmanuel Allard,-TABAC-,13011,MARSEILLE,Ordinaire permanent
2130,LE WEEK-END,4 R MATHIEU STILATTI,TABAC,13003,MARSEILLE,Ordinaire permanent
2131,LE GIULIA,148 LA CANEBIERE,TABAC,13001,MARSEILLE,Ordinaire permanent
2132,LE LION,186 rue de LYON,TABAC,13015,MARSEILLE,Ordinaire permanent
2133,LE SCORE,34 R DE LA GUADELOUPE,TABAC,13006,MARSEILLE,Ordinaire permanent
2134,LE GRAND TRIANON,12 BD DE ROUX,,13004,MARSEILLE,Ordinaire permanent
2135,CHEZ ROLLAND,157 BD DE PLOMBIERES,TABAC,13003,MARSEILLE,Ordinaire permanent
2136,BAR TABAC TERMINUS,372 R D ENDOUME,TABAC,13007,MARSEILLE,Ordinaire permanent
2137,RELAY,GARE ST CHARLES-TABAC-,,13001,MARSEILLE,SpŽcial
2138,LE CALUMET,67 LA CANEBIERE,TABAC,13001,MARSEILLE,Ordinaire permanent
2139,LA TABATIéRE,105 R DE LA REPUBLIQUE,SNC LA TABATIERE,13002,MARSEILLE,Ordinaire permanent
2140,LE TRIANON,32 RUE SAINTE,TABAC,13001,MARSEILLE,Ordinaire permanent
2141,LE WEEK-END,196 R PARADIS,TABAC,13006,MARSEILLE,Ordinaire permanent
2142,LA FRANCAISE,37 RUE NATIONALE,TABAC,13001,MARSEILLE,Ordinaire permanent
2143,TABAC DE LA GARE,32 Rue LE PELLETIER,TABAC,13016,MARSEILLE,Ordinaire permanent
2144,LE GALLIA,118 RUE DE BRETEUIL,SNC COTTRINO FRED,13006,MARSEILLE,Ordinaire permanent
2145,LE NEMROD,140 R DE LODI,SNC LE NEMROD,13006,MARSEILLE,Ordinaire permanent
2146,LE ST MICHEL,1 RUE SAINT MICHEL,TABAC,13006,MARSEILLE,Ordinaire permanent
2147,LE VIZIR,14 R COLBERT,TABAC,13001,MARSEILLE,Ordinaire permanent
2148,TABAC AU DIPLOMATE,6 R LA CANEBIERE,TABAC,13001,MARSEILLE,Ordinaire permanent
2149,LA CIVETTE,132 avenue de ST LOUIS,TABAC,13015,MARSEILLE,Ordinaire permanent
2150,BAR  TABAC DE LA LIBERATION,164 BD DE LA LIBERATION,TABAC,13004,MARSEILLE,Ordinaire permanent
2151,LE BERGERAC,131 rue d' ENDOUME,TABAC,13007,MARSEILLE,Ordinaire permanent
2152,LA COMETE,3 CRS JEAN BALLARD,TABAC,13001,MARSEILLE,Ordinaire permanent
2153,TABAC PRESSE NGUYEN VAN SANG,7 AV BELLE VUE,TABAC,13003,MARSEILLE,Ordinaire permanent
2154,LA BOULE D'OR,2 BD ODDO,TABAC,13015,MARSEILLE,Ordinaire permanent
2155,,36 CRS BELSUNCE,TABAC,13001,MARSEILLE,Ordinaire permanent
2156,BAR TABAC DE SAINT TRONC,126 RUE FRANCOIS MAURIAC,SNC PHAZ,13010,MARSEILLE,Ordinaire permanent
2157,LE NOTRE DAME,65 BD NOTRE DAME,TABAC,13006,MARSEILLE,Ordinaire permanent
2158,ELECTRO BAR,118 BD DE LA BARASSE,TABAC,13011,MARSEILLE,Ordinaire permanent
2159,BAR TABAC LE VIEUX PORT,14 R PYTHEAS,TABAC,13001,MARSEILLE,Ordinaire permanent
2160,TABAC LOTO,2 RUE DE LA LOGE,TABAC,13002,MARSEILLE,Ordinaire permanent
2161,BAR TABAC DE LA PLACE,38 PL NOTRE DAME DU MONT,,13006,MARSEILLE,Ordinaire permanent
2162,BRASSERIE DE LA CROIX ROUGE,36  grande rue La Croix Rouge,TABAC,13013,MARSEILLE,Ordinaire permanent
2163,LE FOCH,18 AV MARECHAL FOCH,TABAC SNC DMCF ,13004,MARSEILLE,Ordinaire permanent
2164,BAR TABAC DE L'AVENUE,168 AV DE LA CAPELETTE,SNC DE L-AVENUE,13010,MARSEILLE,Ordinaire permanent
2165,LE BOYARD,91 R PARADIS,TABAC,13006,MARSEILLE,Ordinaire permanent
2166,LE FORTIN,34 AV MADRAGUE MONTREDON,TABAC,13008,MARSEILLE,Ordinaire permanent
2167,BAR TABAC DES 5 AVENUES,2 AV DES CHARTREUX,TABAC,13004,MARSEILLE,Ordinaire permanent
2168,LE MAJOR,55 BD DES DAMES,TABAC,13002,MARSEILLE,Ordinaire permanent
2169,LA CIVETTE DU CHAPITRE,77 ALL LEON GAMBETTA,TABAC,13001,MARSEILLE,Ordinaire permanent
2170,LE ST VICTOR,126 BD DE LA CORDERIE,TABAC,13007,MARSEILLE,Ordinaire permanent
2171,,79 R SAINTE CECILE,TABAC,13005,MARSEILLE,Ordinaire permanent
2172,JEAN-JEAN,263 BD ROMAIN ROLLAND,SNC JEAN JEAN,13009,MARSEILLE,Ordinaire permanent
2173,BAR TABAC DU CAMAS,182 BD CHAVE,SNC BAR TABAC DU CAMAS,13005,MARSEILLE,Ordinaire permanent
2174,BAR TABAC LEVERRIER,5 PL LEVERRIER,TABAC,13001,MARSEILLE,Ordinaire permanent
2175,LE SAINT JULIEN,8 PL PAUL CEZANNE,TABAC,13006,MARSEILLE,Ordinaire permanent
2176,LE COOL,26 R DE LA LOGE,TABAC,13002,MARSEILLE,Ordinaire permanent
2177,BAR TABAC DU CANET,116 BD D CASANOVA,TABAC,13014,MARSEILLE,Ordinaire permanent
2178,LE MARYLAND,1 R DE ROME,TABAC,13001,MARSEILLE,Ordinaire permanent
2179,LE ST JERïME,60 AV  DE ST JEROME,TABAC,13013,MARSEILLE,Ordinaire permanent
2180,LE NARVAL,68 R EMILE ZOLA,TABAC,13009,MARSEILLE,Ordinaire permanent
2181,TABAC PRESSE,174 RUE RABELAIS,SAINT HENRI -TABAC-,13016,MARSEILLE,Ordinaire permanent
2182,LE PELLETAN,17 AV CAMILLE PELLETAN,TABAC,13002,MARSEILLE,Ordinaire permanent
2183,BRASSERIE DES ALLEES,2 BD D ATHENES,SNC LA FONTAINE,13001,MARSEILLE,Ordinaire permanent
2184,LE DIPLOMATE,32 R PARADIS,TABAC,13001,MARSEILLE,Ordinaire permanent
2185,TABAC NOAILLES,44 LA CANEBIERE,TABAC,13001,MARSEILLE,Ordinaire permanent
2186,ARIEL,67 R BRETEUIL,TABAC,13006,MARSEILLE,Ordinaire permanent
2187,,107 AV ROGER SALENGRO,TABAC,13002,MARSEILLE,Ordinaire permanent
2188,LE BATAVIA,199B AV DU PRADO,TABAC,13008,MARSEILLE,Ordinaire permanent
2189,TABAC GOUDARD,2 RUE GOUDARD,TABAC,13005,MARSEILLE,Ordinaire permanent
2190,BAR TABAC LE DIPLOMATE,161 avenue de SAINT MARCEL,SNC DITHILI,13011,MARSEILLE,Ordinaire permanent
2191,LA SOURCE,155 RTE DES CAMOINS,TABAC,13011,MARSEILLE,Ordinaire permanent
2192,LE CAMPAGNE,41 R CHATEAU PAYAN,TABAC,13005,MARSEILLE,Ordinaire permanent
2193,TABAC PRESSE ALIMENTATION,1  rue du VILLAGE,EOURES-TABAC-,13011,MARSEILLE,Ordinaire permanent
2194,LE PHOCEA,186 bd de STE MARGUERITE,SNC MARTI BOISSONS,13009,MARSEILLE,Ordinaire permanent
2195,TABAC DU MERLAN,74 CHEM DU MERLAN,TABAC,13014,MARSEILLE,Ordinaire permanent
2196,L'HIPPOCAMPE,9 RUE D'ISOARD,TABAC,13001,MARSEILLE,Ordinaire permanent
2197,LA TABATIERE,28 R EMILE ZOLA,TABAC,13009,MARSEILLE,Ordinaire permanent
2198,TABAC LE CORTES,105 R DE ROME,TABAC,13006,MARSEILLE,Ordinaire permanent
2199,,74 AV DES CHARTREUX,TABAC,13004,MARSEILLE,Ordinaire permanent
2200,LE GALLAND,143 RUE DU ROUET,SNC CHETE LEHAIM,13008,MARSEILLE,Ordinaire permanent
2201,,49 R DU PLATEAU,TABAC,13007,MARSEILLE,Ordinaire permanent
2202,BAR TABAC LE MAEVA,8 Grand rue des Caillols,TABAC,13012,MARSEILLE,Ordinaire permanent
2203,LE JEAN BART,107 R SAINTE,TABAC,13007,MARSEILLE,Ordinaire permanent
2204,LE CULTI,222 CHEM DU ROUCAS BLANC,TABAC,13007,MARSEILLE,Ordinaire permanent
2205,LE PAOLI,59 BD EUGENE PIERRE,,13005,MARSEILLE,Ordinaire permanent
2206,TABAC LE MAEVA,1 R LUCIEN ROLMER,TABAC,13003,MARSEILLE,Ordinaire permanent
2207,O  CANOTIER,253 CORNICHE J. KENNEDY,TABAC,13007,MARSEILLE,Ordinaire permanent
2208,TABAC LE CALUMET ,179 AV DE MAZARGUES,TABAC,13008,MARSEILLE,Ordinaire permanent
2209,LE FLASH,2 rue GRANOUX,SNC LE FLASH,13004,MARSEILLE,Ordinaire permanent
2210,LE DERNIER METRO,68 BD EUGENE PIERRE,SNC LE DERNIER METRO ,13005,MARSEILLE,Ordinaire permanent
2211,LE NATIONAL,4 BD NATIONAL,TABAC,13001,MARSEILLE,Ordinaire permanent
2212,TABAC SAINT JOSEPH,37 RUE PAUL COXE,TABAC,13014,MARSEILLE,Ordinaire permanent
2213,BAR TABAC  DU PONT ,92 AV DE LA CAPELETTE,TABAC,13010,MARSEILLE,Ordinaire permanent
2214,BAR TABAC DE LA ROSE,158 AV  DE LA ROSE,TABAC,13013,MARSEILLE,Ordinaire permanent
2215,BAR TABAC DELIBES ,311 rue PARADIS,TABAC,13008,MARSEILLE,Ordinaire permanent
2216,,176 RTE NAT DE ST ANTOINE,TABAC,13015,MARSEILLE,Ordinaire permanent
2217,LE CAPUCCINO,20 BD JEAN LABRO,ST ANDRE MARSEILLE-TABAC-,13016,MARSEILLE,Ordinaire permanent
2218,BAR TABAC LE DRU,39 BD DES DAMES,TABAC,13002,MARSEILLE,Ordinaire permanent
2219,LE PHENICIEN,157 R DE ROME,TABAC,13006,MARSEILLE,Ordinaire permanent
2220,BAR TABAC LOTO LE CHIQUITO,1 RUE ST SAVOURNIN,TABAC,13005,MARSEILLE,Ordinaire permanent
2221,SNC VIVARIO,2 RUE DE LA REPUBLIQUE,TABAC,13124,PEYPIN,Ordinaire permanent
2222,BAR TABAC DU CHATEAU,112 R.D. 7,TABAC,13119,SAINT-SAVOURNIN,Ordinaire permanent
2223,TABAC LE PETIT BOSQUET/ SNC LES DEUX COUSINS,236 avenue de MONTOLIVET,TABAC,13012,MARSEILLE,Ordinaire permanent
2224,LA BELLE EPOQUE,1 BD PAUMONT,TABAC,13015,MARSEILLE,Ordinaire permanent
2225,TABAC MEDIA PRESSE,176 AV DU 24 AVRIL 1915,,13012,MARSEILLE,Ordinaire permanent
2226,BAR TABAC DE LA VALBARELLE,148 BD DE LA VALBARELLE,TABAC,13011,MARSEILLE,Ordinaire permanent
2227,BAR TABAC DES CHUTES LAVIES,39 AV DES CHUTES LAVIES,"TABAC SNC ""RC 68""",13004,MARSEILLE,Ordinaire permanent
2228,TABAC LOTO LE RALLYE,108 CHEM DE GIBBES,TABAC,13014,MARSEILLE,Ordinaire permanent
2229,BAR TABAC DES PINS,11 RTE D ENCO DE BOTTE,TABAC,13012,MARSEILLE,Ordinaire permanent
2230,BAR TABAC LE BOIS LUZY,8 AV DE BOIS LUZY,TABAC,13012,MARSEILLE,Ordinaire permanent
2231,BAR TABAC LE BEAUMONT,78 BD BEAUMONT,TABAC,13012,MARSEILLE,Ordinaire permanent
2232,LE MAEVA,11 Chemin VALLON DES TUVES,BAR TABAC LE MAEVA,13015,MARSEILLE,Ordinaire permanent
2233,BAR LE JEROME,286 BD DU REDON,TABAC,13009,MARSEILLE,Ordinaire permanent
2234,TABAC PRESSE DE LA POUNCHE,1  Bd BarthŽlŽmy, ,13190,ALLAUCH,Ordinaire permanent
2235,LE MANUREVA,RŽsidence PŽrier Rouet AllŽe Turcat MŽry,TABAC,13008,MARSEILLE,Ordinaire permanent
2236,BAR TABAC DE ST MENET,41  av de St Menet,TABAC-,13011,MARSEILLE,Ordinaire permanent
2237,BAR TABAC LE FLASH,63 R AUGUSTIN AUBERT,TABAC,13009,MARSEILLE,Ordinaire permanent
2238,LE GREEN CAFE,25 rue PIERRE BERENGER,TABAC,13012,MARSEILLE,Ordinaire permanent
2239,BAR TABAC DU PETIT CANET,1 BD DU CDT FINAT DUCLOS,LE CANET MARSEILLE-TABAC-,13014,MARSEILLE,Ordinaire permanent
2240,TABAC PRESSE ST ANTOINE LE PONT,71 AVENUE SAINT ANTOINE,TABAC,13015,MARSEILLE,Ordinaire permanent
2241,,4 BD DE LA VALBARELLE,SNC ATTAL,13011,MARSEILLE,Ordinaire permanent
2242,BAR DU ROND POINT,8 rond Point de MAZARGUES,TABAC,13009,MARSEILLE,Ordinaire permanent
2243,RELAY,GARE ST CHARLES-TABAC-,,13001,MARSEILLE,SpŽcial
2244,LA CIVETTE DU PARC,65 BD RABATAU,TABAC,13008,MARSEILLE,Ordinaire permanent
2245,LE CACTUS,35 PL JULES GUESDE,TABAC,13002,MARSEILLE,Ordinaire permanent
2246,,41 rue d' ENDOUME,TABAC,13007,MARSEILLE,Ordinaire permanent
2247,"LE ST GINIEZ SNC ""BABE""",355 AV DU PRADO,TABAC,13008,MARSEILLE,Ordinaire permanent
2248,TABAC PRESSE LOTO,44 Route NATIONALE,TABAC,13780,CUGES-LES-PINS,Ordinaire permanent
2249,LE KING,33 rue Mrs Boyer,TABAC,13720,LA-BOUILLADISSE,Ordinaire permanent
2250,LA CIVETTE DU PORT,3 AV VICTOR HUGO,TABAC,13260,CASSIS,Ordinaire permanent
2251,BAR TABAC DE L'ARRET,QUAI DE L HUVEAUNE,TABAC,13390,AURIOL,Ordinaire permanent
2252,TABAC LOTO CADEAUX,4 PLACE JULIEN GRENIER,TABAC CEYRESTE,13600,CEYRESTE,Ordinaire permanent
2253,LE CARRE D'AS,28 route Nationale 96,BAR TABAC LE CARRE D-AS,13112,LA-DESTROUSSE,Ordinaire permanent
2254,SNC LE NARVAL,8 AV CLEMENCEAU,TABAC,13420,GEMENOS,Ordinaire permanent
2255,TABAC LE MILLIONNAIRE,12 avenue Emile ZOLA,TABAC,13850,GREASQUE,Ordinaire permanent
2256,LE DISQUE BLEU,78 QU DU PORT,TABAC,13002,MARSEILLE,Ordinaire permanent
2257, LE DIPLOMATE,143 R LOUBON,TABAC,13003,MARSEILLE,Ordinaire permanent
2258,BAR TABAC  DES CHARTREUX,193 AV DES CHARTREUX,TABAC,13004,MARSEILLE,Ordinaire permanent
2259,BAR TABAC LE MARIGNY,80 AV CAMILLE PELLETAN,CIJOLEX SNC,13003,MARSEILLE,Ordinaire permanent
2260,LE BISTROT MARSEILLAIS,35 chemin de ST MITRE,TABAC,13013,MARSEILLE,Ordinaire permanent
2261,BAR TABAC DE LA VALENTINE ,1 AV CESAR BOY,SNC LUCAJUMAX,13011,MARSEILLE,Ordinaire permanent
2262,TABAC LES COLONNES,55 RUE ALPHONSE DAUDET,TABAC,13013,MARSEILLE,Ordinaire permanent
2263,BAR TABC SAINTE MARTHE,16 rue BERTHELOT,BAR TABAC DE SAINTE-MARTHE,13014,MARSEILLE,Ordinaire permanent
2264,BAR TABAC LE DJANGO ,38 AV  DE SAINT JUST,TABAC LE DJANGO,13004,MARSEILLE,Ordinaire permanent
2265,BAR TABAC LE MARIGNY,32 AV FERDINAND BALDUCCI,TABAC,13830,ROQUEFORT-LA-BEDOULE,Ordinaire permanent
2266,LE MARIGNY,5 RUE DE LA  REPUBLIQUE,SNC DONATO,13400,AUBAGNE,Ordinaire permanent
2267,,257 BD NATIONAL,TABAC,13003,MARSEILLE,Ordinaire permanent
2268,LE SAINT BAR,126 R MONTAIGNE,TABAC,13012,MARSEILLE,Ordinaire permanent
2269,LE FONTENOY,74 R CLOVIS HUGUES,TABAC,13003,MARSEILLE,Ordinaire permanent
2270,BAR TABAC DE L' ARRET,18 avenue des AliiŽs,TABAC,13360,ROQUEVAIRE,Ordinaire permanent
2271,,58 BD DE ST LOUP,TABAC,13010,MARSEILLE,Ordinaire permanent
2272,SNC BAR TABAC LA BOURGADE,258 BD VOLTAIRE,TABAC QUARTIER LA BOURGADE,13821,LA-PENNE-SUR-HUVEAUNE,Ordinaire permanent
2273,TABAC PRESSE CADEAUX,28 Rue CENTRALE,CHATEAU GOMBERT-TABAC-,13013,MARSEILLE,Ordinaire permanent
2274,TABAC LOTO PRESSE PMU,2 SQUARE MICHELET,TABAC,13009,MARSEILLE,Ordinaire permanent
2275,MAG PRESSE TABAC LOTO,17 allŽe de la Bastide Cazaulx,SNC DO,13012,MARSEILLE,Ordinaire permanent
2276,LE CORBUSIER,280 BD MICHELET,LE CORBUSIER TABAC,13008,MARSEILLE,Ordinaire permanent
2277,TABAC LE PALL MALL,57 BD DE ROUX,TABAC,13004,MARSEILLE,Ordinaire permanent
2278,TABAC BEAUVALLON,PARC BEAUVALLON  CHEM DE MORGIOU,SNC BARRIOL ET ASSOCIES,13009,MARSEILLE,Ordinaire permanent
2279,TABAC PRESSE LOTO SNC CHOUCHA,29 avenue Jean COMPADIEU,CENTRE COMMERCIAL BOIS LE MAëTRE,13012,MARSEILLE,Ordinaire permanent
2280,TABAC DU CHATEAU DES FLEURS,16 BD MICHELET,SNC DU STADE,13008,MARSEILLE,Ordinaire permanent
2281,,1 bd Ledru-Rollin,SAINT LOUIS-TABAC-,13015,MARSEILLE,Ordinaire permanent
2282,TABAC LOTO DU CENTRE,6/8 bd du MarŽchal JUIN,TABAC,13470,CARNOUX-EN-PROVENCE,Ordinaire permanent
2283,LE JEANNE D'ARC,55 BD JEANNE D ARC,SNC NGUYEN,13005,MARSEILLE,Ordinaire permanent
2284,PRESSE LOTO CONSOLAT,Rue CYRANO DE BERGERAC,CITƒ CONSOLAT          TABAC,13015,MARSEILLE,Ordinaire permanent
2285,TABAC PRESSE DU LITTORAL,502 chemin du LITTORAL,TABAC,13016,MARSEILLE,Ordinaire permanent
2286,,42  av Merleau-Ponty    CC LA SAUVAGINE,SNC FRANZAMP ,13013,MARSEILLE,Ordinaire permanent
2287,TABAC-PRESSE DU VIEUX CYPRƒS,Chemin de la Rose ˆ Chateau Gombert, PARC VIEUX CYPRéS TABAC DU VIEUX CYPRéS,13013,MARSEILLE,Ordinaire permanent
2288,,10 AV  DU CASTELLAS,TABAC,13015,MARSEILLE,Ordinaire permanent
2289,CHEZ FACO,76 BD TIBOULEN,SNC CHEZ FACO,13008,MARSEILLE,Ordinaire permanent
2290,LES MENINES,6 BD VELASQUEZ,DOMAINE DU ROY D ESPAGNE. TABAC,13008,MARSEILLE,Ordinaire permanent
2291,TABAC PRESSE ST THYS,5  avenue de Saint Thys,TABAC,13010,MARSEILLE,Ordinaire permanent
2292,LE DROMEL PRESSE,PARC DROMEL 19 bd STE MARGUERITE,TABAC,13009,MARSEILLE,Ordinaire permanent
2293,TABAC PRESSE,43 AV LOUIS CROZET,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2294,TABAC PRESSE BERNABO,357 CHEM de la MADRAGUE VILLE,TABAC,13015,MARSEILLE,Ordinaire permanent
2295,SNC TABAC LA TOURTELLE,RN 8. CITE DE LA TOURTELLE,SNC TABAC LA TOURTELLE  ,13400,AUBAGNE,Ordinaire permanent
2296,TABAC DU PIN VERT,19 AV  ROGER SALINGRO,TABAC DU PIN VERT,13400,AUBAGNE,Ordinaire permanent
2297,LE TOTEM,134 bd ROMAIN ROLLAND ,TABAC,13010,MARSEILLE,Ordinaire permanent
2298,LE CALUMET ,83 bd DU REDON.  ,CENTRE CCIAL LA ROUVIéRE,13009,MARSEILLE,Ordinaire permanent
2299,LE ROSEVAL,40 TRAVERSE DE LA GAYE,TABAC,13009,MARSEILLE,Ordinaire permanent
2300,TABAC LE NAUTILE,27 AV  DE FRAIS VALLON,CENTRE COMMERCIAL-TABAC-,13013,MARSEILLE,Ordinaire permanent
2301,,151 Traverse de la Gouffone,C C  VALMANTE-TABAC-,13009,MARSEILLE,Ordinaire permanent
2302,TABAC DE LA PLAGE,1 ALLEE LUMIERE,TABAC,13600,LA-CIOTAT,Ordinaire permanent
2303,LA BOUTIQUE DU FUMEUR,60 AV  CANTINI,SNC BD2E,13008,MARSEILLE,Ordinaire permanent
2304,SUPER BRETEUIL,186 R BRETEUIL,TABAC,13006,MARSEILLE,Ordinaire permanent
2305,TABAC PRESSE,Route DE LA SABLIERE,GEANT CASINO LA VALENTINE TABAC,13011,MARSEILLE,Ordinaire permanent
2306,TABAC-PRESSE,HALL FAC SCIENCE LUMINY,TABAC,13009,MARSEILLE,Ordinaire permanent
2307,LE MONTE CRISTO,55 AV DES OLIVES,SNC SMA,13013,MARSEILLE,Ordinaire permanent
2308,LA CASTELLANE,216 BD HENRI BARNIER,TABAC,13016,MARSEILLE,Ordinaire permanent
2309,BAR TABAC LE JULIEN,MARCHE d' INTERET NATIONAL,SNC AS BISTROT ,13014,MARSEILLE,Ordinaire permanent
2310,TABAC PRESSE DES CATALANS,10 R DES CATALANS,TABAC,13007,MARSEILLE,Ordinaire permanent
2311,TABAC LE GALLIA,Av  Jules Ferry,CENTRE COMMERCIAL AURORE,13600,LA-CIOTAT,Ordinaire permanent
2312,TABAC DE L'AILLAUDE,659 AV DE MAZARGUES,SNC DE L-AILLAUDE,13009,MARSEILLE,Ordinaire permanent
2313,TC PRESSE,84 BD DU REDON,TABAC,13009,MARSEILLE,Ordinaire permanent
2314,TABAC MOUREN,RES MICHELET DELATTRE,BD KOENIG ,13009,MARSEILLE,Ordinaire permanent
2315,LE TOTEM,60 AV JEAN LOMBARD,TABAC,13011,MARSEILLE,Ordinaire permanent
2316,TABAC DU VAL D'ORE,13 AV DE LA VIGUERIE,TABAC,13260,CASSIS,Ordinaire permanent
2317,,Centre Commercial DE LA BATARELLE HAUTE,TABAC-PRESSE,13013,MARSEILLE,Ordinaire permanent
