Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
MDT,"Medtronic Inc",144697424000,20.3,5.31,4631000000,0.67,2.16,2.00%
MET,"Metlife Inc",41484644000,7.89,5.59,5123000000,1.09,1.76,3.97%
MGM,"MGM Resorts International",14631241000,38.56,0.73,445450000,1.42,0.52,1.85%
MHK,"Mohawk Industries",8578269000,10.77,10.84,861700000,1.38,0,0.00%
MKC,"Mccormick & Company Inc",21584346000,31.19,5.23,933400000,0.18,2.28,1.40%
MKTX,"Marketaxess Holdings",15012934000,80.21,4.89,172850000,0.22,2.04,0.51%
MLM,"Martin Marietta Materials",15845397000,30.89,8.2,470000000,1.13,1.92,0.76%
MMC,"Marsh & Mclennan Companies",50575404000,21.71,4.57,1650000000,0.77,1.82,1.82%
MMM,"3M Company",93034120000,17.21,9.32,5349000000,1.09,5.76,3.56%
MNST,"Monster Beverage Cp",31968052000,29.7,1.94,993000000,1.3,0,0.00%
MO,"Altria Group",81710520000,10.98,4.03,6963000000,0.38,3.2,7.32%
MOS,"Mosaic Company",7096094000,9.72,1.89,470000000,1.56,0.2,1.09%
MPC,"Marathon Petroleum Corp",32395876000,8.45,5.75,2780000000,1.68,2.12,4.31%
MRK,"Merck & Company",221395632000,18.26,4.75,6220000000,0.56,2.2,2.54%
MRO,"Marathon Oil Corp",9519857000,13.12,0.93,1096000000,2.25,0.2,1.69%
MS,"Morgan Stanley",68573344000,9.26,4.46,8748000000,1.32,1.4,3.37%
MSCI,"MSCI Inc",19872924000,40.98,5.75,507890000,1.12,2.72,1.16%
MSFT,"Microsoft Corp",1052617536000,29.08,4.75,39240000000,1.23,1.84,1.33%
MSI,"Motorola Solutions",29950734000,25.48,7.11,966000000,0.56,2.28,1.26%
MTB,"M&T Bank Corp",19543454000,10.47,14.07,1918080000,1.05,4,2.74%
MTD,"Mettler-Toledo International",16162938000,30.81,21.23,512610000,1.33,0,0.00%
MU,"Micron Technology",49969160000,4.91,9.1,14135000000,1.96,0,0.00%
MXIM,"Maxim Integrated",14795230000,22.11,2.44,827490000,1.38,1.92,3.52%
MYL,"Mylan NV Ord Shs",10043988000,4.52,4.4,352500000,1.77,0,0.00%
NBL,"Noble Energy Inc",10798952000,113.9,0.2,-66000000,1.41,0.48,2.13%
NCLH,"Norwegian Cruise Ord",10941548000,9.57,5.25,954840000,1.67,0,0.00%
NDAQ,"Nasdaq Inc",16442450000,20.57,4.85,458000000,0.66,1.88,1.88%
NEE,"Nextera Energy",104961888000,26.9,8.22,6638000000,0.22,5,2.28%
NEM,"Newmont Mining Corp",32705570000,33.99,1.18,341000000,0.03,0.56,1.40%
NFLX,"Netflix Inc",128614032000,116.38,2.55,1211240000,1.23,0,0.00%
NI,"NiSource Inc",11032403000,21.81,1.35,-50600000,0.23,0.8,2.71%
NKE,"Nike Inc",132401952000,34.29,2.49,4029000000,0.78,0.88,1.04%
NKTR,"Nektar Therapeutics",3079564000,0,-2.44,681310000,2.67,0,0.00%
NLSN,"Nielsen Holdings Plc",7383793000,11.81,1.77,-712000000,0.91,1.4,6.74%
NOC,"Northrop Grumman Corp",62242860000,17.04,21.59,3229000000,0.81,5.28,1.44%
NOV,National-Oilwell,7883856000,0,-0.21,-31000000,1.3,0.2,0.98%
NRG,"NRG Energy",9208764000,16.9,2.11,268000000,0.79,0.12,0.33%
NSC,"Norfolk Southern Corp",45845992000,16.94,10.3,2666000000,1.31,3.76,2.16%
NTAP,"Netapp Inc",11434099000,13.38,3.58,1169000000,1.48,1.92,4.00%
NTRS,"Northern Trust Corp",18895366000,13.16,6.63,1556400000,1.16,2.4,2.73%
NUE,"Nucor Corp",14848630000,6.77,7.21,2360770000,1.61,1.6,3.27%
NVDA,"Nvidia Corp",102013584000,43.6,3.83,4141000000,2.07,0.64,0.38%
NWL,"Newell Rubbermaid Inc",7028440000,10.28,1.6,-6917900000,1.09,0.92,5.54%
NWS,"News Cp Cl B",8287495000,30.85,0.46,155000000,1.46,0.2,1.41%
NWSA,"News Cp Cl A",8047532000,30,0.46,155000000,1.51,0.2,1.45%
O,"Realty Income Corp",23488408000,22.82,1.31,363610000,0.12,2.72,3.68%
OKE,"Oneok Inc",29436358000,23.53,3.01,1151700000,1.17,3.56,4.99%
OMC,"Omnicom Group Inc",16544875000,12.89,5.86,1326400000,0.71,2.6,3.42%
ORCL,"Oracle Corp",173662752000,16.25,3.21,11083000000,1.15,0.96,1.84%
ORLY,"O'Reilly Automotive",29362630000,22.97,16.78,1324490000,0.73,0,0.00%
OXY,"Occidental Petroleum Corp",32538214000,9.04,4.8,4131000000,0.82,3.12,7.18%
PAYX,"Paychex Inc",29358486000,28.82,2.84,1034400000,0.86,2.48,3.04%
PBCT,"People's United Finl",5729836000,10.56,1.36,468100000,1.21,0.71,4.94%
PCAR,"Paccar Inc",22707950000,9.63,6.79,2195100000,1.25,1.28,1.95%
PEG,"Public Service Enterprise Group Inc",30575808000,18.95,3.17,1438000000,0.33,1.88,3.11%
PEP,"Pepsico Inc",191171632000,24.33,5.59,12515000000,0.6,3.82,2.79%
PFE,"Pfizer Inc",196628752000,11.51,3.07,11152000000,0.63,1.44,4.05%
PFG,"Principal Financial Group Inc",14837523000,9.28,5.73,1546500000,1.51,2.16,4.06%
PG,"Procter & Gamble Company",300891584000,26.75,4.53,3897000000,0.45,2.98,2.48%
PGR,"Progressive Corp",44316320000,13.78,5.5,2615300000,0.66,0.4,0.53%
PH,"Parker-Hannifin Corp",21291832000,13.87,11.83,1512360000,1.53,3.52,2.12%
PHM,Pultegroup,9268602000,9.43,3.57,1022020000,0.72,0.44,1.30%
PKG,"Packaging Corp of America",9521205000,11.89,8.42,738000000,1.71,3.16,3.14%
PKI,Perkinelmer,9185984000,22.04,3.77,237930000,1.25,0.28,0.34%
PLD,"Prologis Inc",52775012000,27.72,2.69,1649360000,1.03,2.12,2.54%
PM,"Philip Morris International Inc",112160496000,13.88,5.24,7911000000,0.96,4.56,6.33%
PNC,"PNC Bank",57406980000,11.6,11.06,5301000000,1.07,4.6,3.57%
PNR,"Pentair Ltd",6036320000,15.89,2.26,347400000,1.18,0.72,2.00%
PNW,"Pinnacle West Capital Corp",10703694000,21.32,4.47,511050000,0.15,2.95,3.10%
PPG,"PPG Industries",26178900000,18.89,5.83,1341000000,1.22,2.04,1.84%
PPL,"PPL Corp",21342398000,12.26,2.39,1827000000,0.51,1.65,5.58%
PRGO,"Perrigo Company",6364653000,11.76,3.99,131000000,1.4,0.84,1.80%
PRU,"Prudential Financial Inc",32196178000,6.78,11.73,4074000000,1.49,4,4.99%
PSA,"Public Storage",46222808000,24.58,8.38,1711030000,0.17,8,3.02%
PSX,"Phillips 66",44239696000,8.61,11.39,5595000000,1.1,3.6,3.65%
PVH,"Phillips-Van Heusen Corp",5678406000,7.91,9.69,746400000,1.4,0.15,0.20%
PWR,"Quanta Services",4819970000,11.81,2.84,293350000,1.17,0.16,0.47%
PXD,"Pioneer Natural Resources CO",20628912000,17.4,7.09,978000000,1.08,0.64,0.52%
PYPL,"Paypal Holdings",128316416000,49.42,2.21,2057000000,0.97,0,0.00%
QCOM,"Qualcomm Inc",94541712000,25.07,3.05,-4864000000,1.62,2.48,3.19%
QRVO,"Qorvo Inc",8413383000,12.68,5.64,133130000,1.09,0,0.00%
RCL,"Royal Caribbean Cruises Ltd",21853022000,11.04,9.36,1811040000,1.34,2.8,2.69%
RE,"Everest Re Group",9609752000,18.51,12.96,103550000,0.25,5.6,2.37%
REG,"Regency Centers Corp",10809103000,16.65,1.75,249130000,0.5,2.34,3.63%
REGN,"Regeneron Pharmaceuticals",31856480000,14.48,20.06,2444400000,1.15,0,0.00%
RF,"Regions Financial Corp",14587426000,9.98,1.45,1759000000,1.49,0.56,3.83%
RHI,"Robert Half International Inc",6285986000,14.02,3.81,434290000,1.32,1.24,2.32%
RJF,"Raymond James Financial",10900564000,11.06,7.08,856700000,1.52,1.36,1.73%
RL,"Ralph Lauren Corp",6821703000,11.86,7.42,430900000,0.86,2.75,3.11%
RMD,"Resmed Inc",20013372000,37.91,3.65,404590000,0.47,1.56,1.12%
ROK,"Rockwell Automation Inc",17877652000,17.26,8.76,535500000,1.4,3.88,2.54%
ROL,"Rollins Inc",10744816000,45.54,0.72,231660000,0.35,0.42,1.28%
ROP,"Roper Industries",38143772000,28.73,12.68,944400000,1.16,1.85,0.50%
ROST,"Ross Stores Inc",38661424000,24.45,4.38,1587460000,0.89,1.02,0.96%
RSG,"Republic Services",28627028000,28.47,3.14,1036900000,0.5,1.5,1.68%
RTN,"Raytheon Company",51617924000,16.81,10.87,2909000000,0.86,3.77,2.03%
SBAC,"SBA Communications",29682146000,32.49,1.19,47450000,0.69,1.48,0.56%
SBUX,"Starbucks Corp",115582320000,35.53,2.75,4518300000,0.55,1.44,1.49%
SCHW,"The Charles Schwab Corp",50025892000,14.25,2.65,3507000000,1.25,0.68,1.78%
SEE,"Sealed Air Corp",6153226000,14.54,2.75,193100000,1.1,0.64,1.61%
SHW,"Sherwin-Williams Company",48595844000,27.06,19.39,1108750000,1.28,4.52,0.86%
SIVB,"Svb Financial Group",10030520000,8.94,21.69,973840000,2.07,0,0.00%
SJM,"J.M. Smucker Company",11993287000,12.71,8.29,514400000,0.42,3.52,3.35%
SLB,"Schlumberger N.V.",44850852000,21.95,1.47,2138000000,1.44,2,6.17%
SLG,"SL Green Realty Corp",6611491000,11.64,2.76,258650000,1.1,3.4,4.24%
SNA,"Snap-On Inc",8208621000,12.24,12.14,679900000,1.25,3.8,2.56%
SNPS,"Synopsys Inc",21312200000,34.55,4.09,432520000,1.27,0,0.00%
SO,"Southern Company",60607644000,20.11,2.89,2242000000,0.18,2.48,4.26%
SPG,"Simon Property Group",45876648000,12.04,7.48,2440060000,0.52,8.4,5.64%
SPGI,"S&P Global Inc",64084800000,29.4,8.87,1958000000,1.08,2.28,0.88%
SRE,"Sempra Energy",38884660000,24.48,5.81,1050000000,0.45,3.87,2.73%
STI,"Suntrust Banks",27306624000,10.69,5.73,2775000000,1.48,2.24,3.64%
STT,"State Street Corp",19117030000,8.22,6.24,2599000000,1.43,1.88,3.66%
STX,"Seagate Tech Ord Shs",13508397000,10.19,4.8,2012000000,1.7,2.52,5.02%
STZ,"Constellation Brands Inc",39147940000,22.03,9.29,3435900000,1.75,3,1.47%
SWK,"Stanley Black & Decker Inc",20160574000,16.12,8.27,605200000,1.36,2.64,1.99%
SWKS,"Skyworks Solutions",12924084000,12.21,6.14,918400000,1.02,1.76,2.34%
SYF,"Synchrony Financial",21263252000,8.13,3.97,2790000000,1.19,0.88,2.75%
SYK,"Stryker Corp",82549792000,28.7,7.73,3553000000,0.85,2.08,0.94%
SYMC,"Symantec Corp",14369244000,17.72,1.31,31000000,1.33,0.3,1.29%
SYY,"Sysco Corp",38144448000,20.98,3.55,1674270000,0.52,1.56,2.10%
T,"AT&T Inc",257644800000,10.01,3.51,19370000000,0.62,2.04,5.79%
TAP,"Molson Coors Brewing Company",11111942000,10.82,4.72,1116500000,0.79,2.28,4.44%
TDG,"Transdigm Group Inc",28708062000,31.97,16.54,957060000,1.06,0,0.00%
TEL,"Te Connectivity Ltd",30643990000,16.52,5.56,2565000000,1.2,1.84,2.02%
TFX,"Teleflex Inc",16825114000,35.66,10.19,200800000,1.02,1.36,0.37%
TGT,"Target Corp",54840232000,18.08,5.97,2937000000,0.61,2.64,2.47%
TIF,"Tiffany & CO",10304830000,18.92,4.57,586400000,1.56,2.32,2.73%
TJX,"TJX Companies",66660308000,22.99,2.41,3059800000,0.73,0.92,1.67%
TMO,"Thermo Fisher Scientific Inc",114960640000,24.38,11.72,2938000000,1.11,0.76,0.26%
TMUS,"T-Mobile US",66690368000,18.84,4.14,2888000000,0.36,0,0.00%
TPR,"Tapestry Inc",5923453000,7.86,2.58,643400000,0.88,1.35,6.54%
TRIP,"Tripadvisor Inc",5291969000,33.52,1.13,113000000,1.33,0,0.00%
TROW,"T Rowe Price Group",26058202000,14.8,7.43,1837500000,1.05,3.04,2.75%
TRV,"The Travelers Companies Inc",38266328000,15.43,9.52,2523000000,0.94,3.28,2.23%
TSCO,"Tractor Supply CO",12150717000,23.19,4.49,532360000,1.1,1.4,1.37%
TSN,"Tyson Foods",33930292000,15.73,5.83,3024000000,0.5,1.5,1.61%
TSS,"Total System Services",23753854000,29.78,4.49,576660000,0.83,0.52,0.39%
TTWO,"Take-Two Interacti",14936101000,31.37,4.22,333840000,0.8,0,0.00%
TWTR,"Twitter Inc",32969220000,68.53,0.62,1205600000,0.62,0,0.00%
TXN,"Texas Instruments",115535472000,23.05,5.36,5580000000,1.25,3.08,2.49%
TXT,"Textron Inc",10355580000,12.92,3.45,1222000000,1.74,0.08,0.18%
UA,"Under Armour Inc Cl C",7635083000,48.46,0.35,-46300000,0.96,0,0.00%
UAA,"Under Armour",8397688000,53.2,0.35,-46300000,0.51,0,0.00%
UAL,"United Continental Holdings",21661008000,7.82,10.83,2129000000,1.16,0,0.00%
UDR,"United Dominion Realty Trust",14109128000,23.81,0.56,203110000,0.47,1.37,2.84%
UHS,"Universal Health Services",12793449000,14.7,9.81,779710000,1.09,0.4,0.28%
ULTA,"Ulta Beauty Inc",13897220000,29.02,11.33,658560000,0.96,0,0.00%
UNH,"Unitedhealth Group Inc",221757360000,16.45,14.02,11986000000,0.61,4.32,1.85%
UNM,"Unumprovident Corp",5301314000,4.76,5.34,523400000,1.5,1.14,4.49%
UNP,"Union Pacific Corp",114105688000,19.21,8.42,5966000000,1.04,3.88,2.40%
UPS,"United Parcel Service",101893816000,16.65,7.11,4791000000,1.23,3.84,3.24%
URI,"United Rentals",8685467000,6.31,17.64,1096000000,2.65,0,0.00%
USB,"U.S. Bancorp",83030320000,12.41,4.22,7096000000,1.06,1.48,2.81%
UTX,"United Technologies Corp",112375112000,16.21,7.99,5269000000,1.2,2.94,2.26%
V,"Visa Inc",358731168000,34.91,5.19,10301000000,0.96,1,0.55%
VAR,"Varian Medical Systems",9646091000,23.24,4.59,149900000,0.84,0,0.00%
VFC,"V.F. Corp",32630604000,22.88,3.64,1259790000,1.15,2.04,2.49%
VIAB,"Viacom Inc Cl B",10076782000,5.91,4.26,1719000000,1.29,0.8,3.20%
VLO,"Valero Energy Corp",31196258000,12.58,5.98,3122000000,1.48,3.6,4.78%
VMC,"Vulcan Materials Company",18685540000,32.46,4.33,515810000,0.93,1.24,0.88%
VNO,"Vornado Realty Trust",11538463000,16.88,1.95,449950000,0.97,2.64,4.37%
VRSK,"Verisk Analytics Inc",26412758000,37.83,4.25,598700000,0.76,1,0.62%
VRSN,"Verisign Inc",24130134000,40.54,5.08,582490000,1.06,0,0.00%
VRTX,"Vertex Pharmaceutic",46271444000,49.72,3.6,2096900000,1.4,0,0.00%
VTR,"Ventas Inc",27344012000,18.83,1.4,409470000,0.27,3.17,4.32%
VZ,"Verizon Communications Inc",240536096000,12.15,4.77,15528000000,0.53,2.41,4.14%
WAB,"Wabtec Corp",13022206000,16.72,4.04,294940000,1.41,0.48,0.69%
WAT,"Waters Corp",14145565000,24.73,8.53,593790000,1.07,0,0.00%
WBA,"Walgreens Boots Alliance",46231888000,8.33,6.05,5024000000,0.81,1.83,3.57%
WCG,"Wellcare Group",13621470000,20.81,12.96,439800000,0.93,0,0.00%
WDC,"Western Digital Cp",16952150000,14.34,3.84,-754000000,1.87,2,3.49%
WEC,"Wisconsin Energy Corp",30209306000,27.73,3.46,1060500000,0.11,2.36,2.46%
WELL,"Welltower Inc",36293920000,21.77,1.76,804950000,0.29,3.48,3.89%
WFC,"Wells Fargo & Company",205192400000,9.54,4.84,22393000000,1.08,2.04,4.38%
WHR,"Whirlpool Corp",8835970000,8.38,16.42,-183000000,1.83,4.8,3.45%
WLTW,"Willis Towers Wts",25536942000,19.39,10.08,695000000,0.82,2.6,1.31%
WM,"Waste Management",50632088000,27.56,4.33,1925000000,0.62,2.05,1.72%
WMB,"Williams Companies",28603720000,26.05,0.91,-155000000,1.56,1.52,6.44%
WMT,"Wal-Mart Stores",326180544000,23.33,4.89,6670000000,0.41,2.12,1.86%
WRK,"Westrock Company",8785730000,8.46,4.03,1906100000,1.61,1.82,5.32%
WU,"Western Union Company",9376469000,11.96,1.85,851900000,0.83,0.8,3.62%
WY,"Weyerhaeuser Company",19599082000,40.17,0.65,748000000,1.71,1.36,5.17%
WYNN,"Wynn Resorts Ltd",11853901000,18.36,5.79,572430000,1.95,4,3.63%
XEC,"Cimarex Energy CO",4340331000,7.06,5.99,791850000,1.3,0.8,1.87%
XEL,"XCEL Energy Inc",33074006000,26.37,2.45,1261000000,0.16,1.62,2.52%
XLNX,"Xilinx Inc",26286076000,27.96,3.7,889750000,1.23,1.48,1.42%
XOM,"Exxon Mobil Corp",289746144000,16.1,4.25,20840000000,0.97,3.48,5.08%
XRAY,"Dentsply Sirona Inc",11691143000,24.65,2.11,-1011000000,0.97,0.35,0.67%
XRX,"Xerox Corp",6511936000,7.4,3.89,361000000,1.74,1,3.45%
XYL,"Xylem Inc",13792022000,25.81,2.96,549000000,1.19,0.96,1.25%
YUM,"Yum! Brands",35534520000,36.77,3.19,1542000000,0.53,1.68,1.44%
ZBH,"Zimmer Biomet Holdings",28579848000,18.16,7.61,-379200000,1.15,0.96,0.69%
ZION,"Zions Bancorporation",7271410000,9.82,4.15,884000000,1.49,1.36,3.31%
ZTS,"Zoetis Inc Cl A",60372884000,37.26,3.4,1428000000,0.92,0.66,0.52%
"Downloaded from Barchart.com as of 09-03-2019 05:03pm CDT"
